pfam12796	Ank_2	PAGRI_02194	hypothetical protein
pfam00560	LRR_1	PAGRI_01202	Leucine Rich Repeat
pfam13855	LRR_8	PAGRI_01134	Leucine-rich repeat (LRR) protein
pfam13855	LRR_8	PAGRI_01202	Leucine Rich Repeat
pfam13855	LRR_8	PAGRI_01207	Leucine rich repeat-containing protein
pfam08238	Sel1	PAGRI_00018	Sel1 repeat-containing protein
pfam08238	Sel1	PAGRI_00099	TPR repeat
pfam08238	Sel1	PAGRI_05303	Sel1 repeat-containing protein
pfam08238	Sel1	PAGRI_06589	hypothetical protein
pfam00515	TPR_1	PAGRI_02920	Glycosyltransferase family 9 (heptosyltransferase)
pfam00515	TPR_1	PAGRI_04081	Tfp pilus assembly protein PilF
pfam00515	TPR_1	PAGRI_06745	Ca-activated chloride channel family protein
pfam13374	TPR_10	PAGRI_02045	Flp pilus assembly protein TadD, contains TPR repeats
pfam13374	TPR_10	PAGRI_04081	Tfp pilus assembly protein PilF
pfam13414	TPR_11	PAGRI_03740	Tetratricopeptide repeat-containing protein
pfam13414	TPR_11	PAGRI_04081	Tfp pilus assembly protein PilF
pfam13424	TPR_12	PAGRI_00623	Predicted O-linked N-acetylglucosamine transferase, SPINDLY family
pfam13424	TPR_12	PAGRI_02045	Flp pilus assembly protein TadD, contains TPR repeats
pfam13424	TPR_12	PAGRI_03240	HemY protein
pfam13432	TPR_16	PAGRI_00117	Flp pilus assembly protein TadD, contains TPR repeats
pfam13432	TPR_16	PAGRI_00362	Tetratricopeptide repeat-containing protein
pfam13432	TPR_16	PAGRI_00854	Tetratricopeptide (TPR) repeat
pfam13432	TPR_16	PAGRI_00879	Lipopolysaccharide biosynthesis regulator YciM, contains six TPR domains and a predicted metal-binding C-terminal domain
pfam13432	TPR_16	PAGRI_01580	Tetratricopeptide repeat-containing protein
pfam13432	TPR_16	PAGRI_01817	Tetratricopeptide repeat-containing protein
pfam13432	TPR_16	PAGRI_02045	Flp pilus assembly protein TadD, contains TPR repeats
pfam13432	TPR_16	PAGRI_02365	Tetratricopeptide repeat-containing protein
pfam13432	TPR_16	PAGRI_02903	Tetratricopeptide repeat-containing protein
pfam13432	TPR_16	PAGRI_02920	Glycosyltransferase family 9 (heptosyltransferase)
pfam13432	TPR_16	PAGRI_03376	Tetratricopeptide repeat-containing protein
pfam13432	TPR_16	PAGRI_03740	Tetratricopeptide repeat-containing protein
pfam13432	TPR_16	PAGRI_04081	Tfp pilus assembly protein PilF
pfam13432	TPR_16	PAGRI_04168	Predicted O-linked N-acetylglucosamine transferase, SPINDLY family
pfam13432	TPR_16	PAGRI_04296	 MCP methyltransferase, CheR-type
pfam13432	TPR_16	PAGRI_05560	Tetratricopeptide (TPR) repeat
pfam13432	TPR_16	PAGRI_06513	Tfp pilus assembly protein PilF
pfam13432	TPR_16	PAGRI_06784	Tetratricopeptide repeat-containing protein
pfam13432	TPR_16	PAGRI_07345	Tetratricopeptide repeat-containing protein
pfam13431	TPR_17	PAGRI_02920	Glycosyltransferase family 9 (heptosyltransferase)
pfam13431	TPR_17	PAGRI_03740	Tetratricopeptide repeat-containing protein
pfam13431	TPR_17	PAGRI_04081	Tfp pilus assembly protein PilF
pfam14559	TPR_19	PAGRI_00362	Tetratricopeptide repeat-containing protein
pfam14559	TPR_19	PAGRI_00592	 thioredoxin
pfam14559	TPR_19	PAGRI_00623	Predicted O-linked N-acetylglucosamine transferase, SPINDLY family
pfam14559	TPR_19	PAGRI_01112	Flp pilus assembly protein TadD, contains TPR repeats
pfam14559	TPR_19	PAGRI_01179	type III secretion low calcium response chaperone LcrH/SycD
pfam14559	TPR_19	PAGRI_06262	Tetratricopeptide repeat-containing protein
pfam14559	TPR_19	PAGRI_06513	Tfp pilus assembly protein PilF
pfam14559	TPR_19	PAGRI_07504	Tetratricopeptide repeat-containing protein
pfam07719	TPR_2	PAGRI_01580	Tetratricopeptide repeat-containing protein
pfam14561	TPR_20	PAGRI_00592	 thioredoxin
pfam09976	TPR_21	PAGRI_01489	Putative negative regulator of RcsB-dependent stress response
pfam07720	TPR_3	PAGRI_01179	type III secretion low calcium response chaperone LcrH/SycD
pfam13181	TPR_8	PAGRI_00577	Flp pilus assembly protein TadD, contains TPR repeats
pfam13181	TPR_8	PAGRI_00854	Tetratricopeptide (TPR) repeat
pfam13181	TPR_8	PAGRI_03376	Tetratricopeptide repeat-containing protein
pfam13371	TPR_9	PAGRI_00610	Regulator of sirC expression, contains transglutaminase-like and TPR domains
