PA070_00009	type III restriction enzyme
PA070_00014	type VI secretion system secreted protein VgrG
PA070_00254	type III pantothenate kinase
PA070_00867	type VI secretion system secreted protein VgrG
PA070_01199	type III secretion protein C
PA070_01205	type III secretion protein J
PA070_01207	type III secretion protein L
PA070_01208	type III secretion protein Q
PA070_01209	type III secretion protein R
PA070_01210	type III secretion protein S
PA070_01211	type III secretion protein T
PA070_01212	type III secretion protein U
PA070_01213	type III secretion protein V
PA070_01214	ATP synthase in type III secretion protein N
PA070_02912	type VI secretion system protein ImpL
PA070_02913	type VI secretion system protein ImpK
PA070_02914	type VI secretion system protein ImpJ
PA070_02915	type VI secretion lipoprotein, VC_A0113 family
PA070_02916	type VI secretion system protein VasG
PA070_02917	type VI secretion system protein ImpH
PA070_02918	type VI secretion system protein ImpG
PA070_02919	type VI secretion system protein
PA070_02920	type VI secretion system secreted protein Hcp
PA070_02921	type VI secretion system protein ImpC
PA070_02922	type VI secretion system protein ImpB
PA070_02923	type VI secretion system protein VasJ
PA070_02933	type III secretion low calcium response chaperone LcrH/SycD
PA070_02939	type III secretion apparatus lipoprotein, YscJ/HrcJ family
PA070_02941	type III secretion protein L
PA070_02942	type III secretion system ATPase, FliI/YscN
PA070_02945	type III secretion protein Q
PA070_02946	type III secretion protein R
PA070_02947	type III secretion protein S
PA070_02948	type III secretion protein T
PA070_02949	type III secretion protein U
PA070_02951	type III secretion protein C
PA070_02966	type III secretion effector delivery regulator, TyeA family
PA070_02970	type III secretion protein V
PA070_02972	type III secretion protein D
PA070_02974	type III secretion system major needle protein, YscF/MxiH/PrgI family
PA070_03307	type VI secretion system secreted protein VgrG
PA070_03308	type VI secretion system protein ImpG
PA070_04831	type VI secretion system protein
PA070_04832	type VI secretion system secreted protein Hcp
PA070_04834	type VI secretion system protein ImpK
PA070_04835	type VI secretion system protein ImpJ
PA070_04836	type VI secretion system protein ImpB
PA070_04837	type VI secretion system protein ImpC
PA070_04838	type VI secretion system secreted protein VgrG
PA070_04842	type VI secretion system protein ImpL
PA070_04843	type VI secretion system protein VasJ
PA070_04844	type VI secretion system protein ImpG
PA070_04845	type VI secretion system protein ImpH
PA070_04846	type VI secretion system protein VasD
PA070_06366	type VI secretion system protein ImpL
PA070_06367	type VI secretion system protein ImpM
PA070_06369	type VI secretion system protein ImpA
PA070_06370	type VI secretion system protein VasG
PA070_06371	type VI secretion system protein ImpH
PA070_06372	type VI secretion system protein ImpG
PA070_06373	type VI secretion system protein ImpF
PA070_06374	type VI secretion system secreted protein Hcp
PA070_06375	type VI secretion system protein ImpC
PA070_06376	type VI secretion system protein ImpB
PA070_06378	type VI secretion system protein VasD
PA070_06379	type VI secretion system protein ImpJ
PA070_06380	type VI secretion system protein ImpK
PA070_07257	type VI secretion system secreted protein VgrG
PA070_07682	type III secretion protein HrpB1
PA070_07696	type III secretion protein C
PA070_07698	type III secretion protein T
PA070_07699	type III secretion protein HrpB7
PA070_07700	ATP synthase in type III secretion protein N
PA070_07701	type III secretion protein L
PA070_07702	type III secretion protein HrpB4
PA070_07703	type III secretion protein J
PA070_07704	type III secretion inner rod protein HrpB2
PA070_07705	type III secretion protein HrpB1
PA070_07706	type III secretion protein U
PA070_07707	type III secretion protein V
PA070_07708	type III secretion control protein HpaP
PA070_07709	type III secretion protein Q
PA070_07710	type III secretion protein R
PA070_07711	type III secretion protein S
PA070_07713	type III secretion protein D
